Label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk
ArdhaChandrasana,171.5881516024186,189.3128917340594,98.07548754100984,94.65843130129713,179.6254466850085,183.01923031551405,175.30489433607755,121.64524847007175,238.5740574475874,309.0744165528306,83.04891439703331,280.7144008637712
BaddhaKonasana,194.85855771969992,165.45694895137964,32.565325136753984,32.3099612595328,343.11307147370803,17.538245375460328,49.078112287863334,74.14157613989256,283.81920171211965,305.9336685645506,191.03921657242213,115.79185729338494
Downward_dog,168.97386882548912,166.94116251874618,174.86422539742142,187.4304585194709,178.0120023274345,178.9665597196349,111.66073463340595,81.50475916705683,80.85082654678021,206.0119895702825,80.67124359382485,79.89728074068222
Natarajasana,173.19017259601472,182.47936656141184,127.05276064467633,109.22187284985566,146.82499523484094,237.03273278628382,203.7532995136023,128.32585482630319,238.70117872564532,281.30355548449785,98.14825946318312,298.18405576558257
Triangle,169.48738251033134,187.70342048898908,87.48652154689468,114.48731568509781,178.96930151709304,176.45240176987812,182.42404508024504,54.141990618767714,146.7023819818003,326.8666989287805,94.40639114374643,174.21491526407715
UtkataKonasana,166.88555945788085,192.4872135150152,91.6600132944962,86.28633202889368,242.31122645495017,116.54109744431072,151.96923747382183,111.46844571403626,249.00331884082462,295.76191201665455,131.98191547673343,228.99898958304615
Veerabhadrasana,178.93457581552428,179.94454452986378,104.23070818738293,104.73131057996329,209.96637382105536,143.94007409576568,182.4674293907278,115.44534287102412,246.03378609136448,299.3921629417892,93.2550677104586,264.8510002580621
Vrukshasana,210.82065033342423,146.1882938461251,124.91517660417497,119.88162817415525,247.84082184271426,128.14282935471542,197.30968166964266,150.53894707815257,202.65579798919217,289.0701104263715,192.77260376141143,169.7012281419763
